status,title,url,sponsors,controlling_body,contact,version,key,final_date,intro_date,type
IN COUNCIL - FIRST READING,"Amending Section 2 of an Ordinance (Bill No. 020252) approved May 29, 2002, entitled ""An Ordinance authorizing the revision of lines and grades on a portion of City Plan No. 13-S by striking from the City Plan and vacating Lawrence Street from Wharton Street to Titan Street and Leithgow Street from Wharton Street to Titan Street; by revising the lines and grades of Reese Street from Reed Street to Wharton Street and Titan Street from Fifth Street to Fourth Street; by placing on the City Plan Earp Street from Fifth Street to relocated Leithgow Street; by striking from the City Plan and vacating certain portions of Earp Street from Fourth Street to Fifth Street; by revising the lines and grades of Lawrence and Leithgow Streets from Reed Street to former Earp Street, all under certain terms and conditions, including the dedication free and clear of all encumbrances the beds of the proposed Earp Street not previously dedicated and the unopened portions of Reese Street, Lawrence Street and Leithgow Street,"" by revising the terms and conditions stated therein and extending the period for compliance therewith.",http://legislation.phila.gov/detailreport/?key=10908,Councilmember DiCicco,Committee on Streets and Services,,0,10908,,12/9/2010,Bill
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Twenty-fourth and Fifty-first Wards of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10909,Councilmember Blackwell,CITY COUNCIL,,0,10909,12/16/2010,12/9/2010,Resolution
ADOPTED,"Approving the redevelopment contract and disposition supplement of the Redevelopment Authority of the City of Philadelphia for the redevelopment and urban renewal of a portion of the Mantua Urban Renewal Area, designated as Parcel No. 276 and also sometimes identified by house number and street address for Parcel No. 276 as 504-506 North Thirty-ninth street; and authorizing the Redevelopment Authority to execute the redevelopment contract with FDI Penn Rehab Properties, LLC and to take such action as may be necessary to effectuate the redevelopment contract and disposition supplement.",http://legislation.phila.gov/detailreport/?key=10910,Councilmember Blackwell,CITY COUNCIL,,0,10910,12/16/2010,12/9/2010,Resolution
ADOPTED,Honoring The Reinvestment Fund on its 25th Anniversary.,http://legislation.phila.gov/detailreport/?key=10911,"Councilmember Tasco, Councilmember Goode, Councilmember Green, Councilmember Sanchez, Councilmember Greenlee, Councilmember Rizzo, Council President Verna, Councilmember DiCicco, Councilmember Miller, Councilmember O'Neill, Councilmember Reynolds Brown, Councilmember Blackwell, Councilmember Clarke",CITY COUNCIL,,0,10911,12/16/2010,12/9/2010,Resolution
ADOPTED,Adopting the report issued by Council's Joint Committees on Transportation and Public Utilities and the Environment on the economic and environmental impacts that hydraulic drilling of Marcellus Shale will have on Philadelphia and the surrounding region.,http://legislation.phila.gov/detailreport/?key=10912,Councilmember Jones,CITY COUNCIL,,1,10912,1/27/2011,12/9/2010,Resolution
ADOPTED,"Authorizing the Council of the City of Philadelphia to issue a request for ideas and proposals on how the City can best employ its available natural resources as sources of alternative energy for the benefit of the City's infrastructure, businesses, and residents.",http://legislation.phila.gov/detailreport/?key=10913,"Councilmember Clarke, Councilmember Reynolds Brown, Councilmember Goode, Councilmember DiCicco, Councilmember Jones, Councilmember Blackwell, Councilmember Tasco, Councilmember Miller, Councilmember Rizzo, Councilmember O'Neill, Councilmember Greenlee, Councilmember Sanchez",CITY COUNCIL,,0,10913,12/16/2010,12/9/2010,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Twenty-ninth Ward of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10914,Councilmember Clarke,CITY COUNCIL,,0,10914,12/16/2010,12/9/2010,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Sixteenth and Forty-seventh Wards of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10915,Councilmember Clarke,CITY COUNCIL,,0,10915,12/16/2010,12/9/2010,Resolution
ADOPTED,"Authorizing the Commissioner of Public Property to execute and deliver to the Redevelopment Authority of the City of Philadelphia, without consideration, deeds conveying conditional fee simple title to certain City-owned lots or pieces of ground with the buildings and improvements thereon, situate in the Twentieth and Thirty-second Wards of the City of Philadelphia, pursuant to Chapter 16-400 of The Philadelphia Code and authorizing the Redevelopment Authority of the City of Philadelphia to dispose of such properties for rehabilitation and/or improvement in accordance with the terms of Chapter 16-400 of The Philadelphia Code.",http://legislation.phila.gov/detailreport/?key=10916,Councilmember Clarke,CITY COUNCIL,,0,10916,12/16/2010,12/9/2010,Resolution
PLACED ON FILE,"Transmitting a resolution approving the redevelopment contract and disposition supplement of the Redevelopment Authority of the City of Philadelphia for the redevelopment and urban renewal of a portion of the Mantua Urban Renewal Area, designated as Parcel No. 276 and also sometimes identified by house number and street address for Parcel No. 276 as 504-506 North Thirty-ninth street; and authorizing the Redevelopment Authority to execute the redevelopment contract with FDI Penn Rehab Properties, LLC and to take such action as may be necessary to effectuate the redevelopment contract and disposition supplement, accompanied by an explanatory letter from the Executive Director of the Redevelopment Authority.",http://legislation.phila.gov/detailreport/?key=10917,,CITY COUNCIL,,0,10917,,12/9/2010,COMMUNICATION
